carrier,year,arr_flights,arr_del15,arr_cancelled,arr_diverted,onTime
AA,2017,178897.0,30116.0,2658.0,380.0,0.83165732237
AS,2017,28475.0,5944.0,414.0,83.0,0.79125548727
B6,2017,50583.0,12806.0,1810.0,130.0,0.746831939584
DL,2017,161939.0,22517.0,1281.0,320.0,0.860953815943
EV,2017,51743.0,9961.0,1705.0,147.0,0.80749086833
F9,2017,16424.0,3703.0,214.0,27.0,0.774537262543
HA,2017,1309.0,408.0,3.0,7.0,0.688311688312
NK,2017,30358.0,6538.0,775.0,46.0,0.784636669082
OO,2017,88957.0,19081.0,2409.0,143.0,0.785503108243
UA,2017,109586.0,20436.0,1122.0,220.0,0.813516325078
VX,2017,16161.0,5152.0,457.0,127.0,0.681207846049
WN,2017,183114.0,35383.0,3701.0,392.0,0.806770645609
