carrier,year,arr_flights,arr_del15,arr_cancelled,arr_diverted,onTime
AA,2005,516641.0,113270.0,7958.0,1429.0,0.780756850502
AS,2005,92104.0,25422.0,1243.0,160.0,0.72398592895
B6,2005,77939.0,22175.0,696.0,293.0,0.715482621024
CO,2005,234574.0,52368.0,2210.0,615.0,0.776752751797
DH,2005,88658.0,17305.0,2079.0,78.0,0.804811748517
DL,2005,460446.0,100624.0,12786.0,962.0,0.78146405876
EV,2005,335229.0,79871.0,12294.0,1014.0,0.761741973397
F9,2005,44148.0,7324.0,146.0,57.0,0.834103470146
FL,2005,148790.0,41131.0,1880.0,381.0,0.72356341152
HA,2005,4055.0,653.0,1.0,1.0,0.838964241677
HP,2005,163066.0,28353.0,2138.0,208.0,0.826125617848
MQ,2005,293170.0,56940.0,10053.0,521.0,0.805778217417
NW,2005,321185.0,74862.0,4996.0,801.0,0.766919376683
OH,2005,91380.0,19708.0,3273.0,262.0,0.784329174874
OO,2005,281830.0,42433.0,5509.0,161.0,0.849437604229
TZ,2005,35822.0,6179.0,470.0,15.0,0.827508235163
UA,2005,410410.0,83389.0,5536.0,749.0,0.796815379742
US,2005,315210.0,69314.0,6359.0,612.0,0.780102154119
WN,2005,501134.0,90078.0,4575.0,725.0,0.820251669214
