carrier,year,arr_flights,arr_del15,arr_cancelled,arr_diverted,onTime
9E,2013,153877.0,25790.0,4232.0,286.0,0.83239860408
AA,2013,432100.0,84058.0,7673.0,1540.0,0.805466327239
AS,2013,92911.0,10766.0,239.0,134.0,0.884125668651
B6,2013,168327.0,42441.0,1480.0,447.0,0.747865761286
DL,2013,579437.0,87503.0,2036.0,1071.0,0.848986171059
EV,2013,395290.0,91959.0,12258.0,1171.0,0.7673632017
F9,2013,57897.0,15141.0,219.0,92.0,0.738483859267
FL,2013,120193.0,24441.0,995.0,220.0,0.796652051284
HA,2013,4612.0,792.0,1.0,13.0,0.82827406765
MQ,2013,253805.0,58835.0,9663.0,612.0,0.768188175962
OO,2013,362059.0,64116.0,8332.0,815.0,0.822912840172
UA,2013,437935.0,86050.0,4421.0,1027.0,0.803509653259
US,2013,351975.0,61817.0,3834.0,518.0,0.82437104908
VX,2013,55723.0,9759.0,251.0,87.0,0.824865854315
WN,2013,615955.0,138525.0,4990.0,1401.0,0.775105324253
YV,2013,72981.0,12419.0,1976.0,117.0,0.829832422137
