carrier,year,arr_flights,arr_del15,arr_cancelled,arr_diverted,onTime
AA,2011,428270.0,80606.0,11063.0,1727.0,0.811786956826
AS,2011,84574.0,8963.0,289.0,121.0,0.894021803391
B6,2011,150900.0,37868.0,2831.0,463.0,0.749052352551
CO,2011,201795.0,44207.0,2545.0,595.0,0.780931142992
DL,2011,565635.0,92728.0,8406.0,1127.0,0.836063892793
EV,2011,367076.0,78984.0,12823.0,964.0,0.784829299655
F9,2011,66088.0,12965.0,442.0,115.0,0.803822176492
FL,2011,167831.0,24361.0,2003.0,403.0,0.854848031651
HA,2011,4405.0,975.0,3.0,10.0,0.77866061294
MQ,2011,264893.0,49878.0,11251.0,662.0,0.81170510357
OO,2011,335818.0,59183.0,7287.0,586.0,0.823764658237
UA,2011,268909.0,48796.0,4369.0,508.0,0.818540844672
US,2011,346226.0,63748.0,6030.0,670.0,0.815877490425
WN,2011,633058.0,109178.0,7060.0,1439.0,0.827538708933
YV,2011,82683.0,10584.0,1973.0,132.0,0.871993033634
