carrier,year,arr_flights,arr_del15,arr_cancelled,arr_diverted,onTime
9E,2009,98472.0,16093.0,2249.0,232.0,0.836572832887
AA,2009,435079.0,89537.0,7546.0,1616.0,0.794205190322
AS,2009,82732.0,12913.0,272.0,127.0,0.843917710197
B6,2009,131075.0,28524.0,1862.0,337.0,0.782384131223
CO,2009,209230.0,44035.0,1167.0,666.0,0.789537829183
DL,2009,340353.0,70198.0,4173.0,891.0,0.793749430738
EV,2009,144233.0,41653.0,3240.0,321.0,0.71121033328
F9,2009,69117.0,14137.0,474.0,76.0,0.795462766034
FL,2009,178151.0,43089.0,1487.0,473.0,0.758132146325
HA,2009,4416.0,1254.0,2.0,17.0,0.716032608696
MQ,2009,238418.0,45923.0,6428.0,620.0,0.807384509559
NW,2009,222717.0,45063.0,1562.0,431.0,0.797666994437
OH,2009,78264.0,24092.0,3069.0,258.0,0.692170090974
OO,2009,297666.0,48155.0,4224.0,517.0,0.838224721668
UA,2009,322240.0,54516.0,5664.0,671.0,0.830821747766
US,2009,345672.0,61923.0,4626.0,620.0,0.8208619732
WN,2009,605379.0,97799.0,4889.0,1113.0,0.838449962751
XE,2009,160524.0,33787.0,3260.0,634.0,0.789520570133
YV,2009,123522.0,21575.0,2886.0,269.0,0.825334758181
