carrier,year,arr_flights,arr_del15,arr_cancelled,arr_diverted,onTime
9E,2007,94913.0,19796.0,3423.0,364.0,0.791430046464
AA,2007,488420.0,139668.0,14129.0,1863.0,0.714041194054
AQ,2007,700.0,86.0,3.0,0.0,0.877142857143
AS,2007,95617.0,24833.0,1247.0,168.0,0.740286769089
B6,2007,132577.0,37865.0,2636.0,476.0,0.714392390837
CO,2007,255133.0,63623.0,2513.0,947.0,0.750628103773
DL,2007,361758.0,79277.0,5435.0,861.0,0.780856263027
EV,2007,340520.0,93531.0,10900.0,1422.0,0.725328908728
F9,2007,79005.0,17114.0,315.0,96.0,0.783380798684
FL,2007,195741.0,43269.0,2007.0,499.0,0.778947691082
HA,2007,4796.0,1128.0,1.0,1.0,0.764804003336
MQ,2007,294268.0,74853.0,12949.0,1004.0,0.745629834029
NW,2007,288694.0,81104.0,5735.0,630.0,0.719065862124
OH,2007,84553.0,28396.0,4515.0,233.0,0.664163305855
OO,2007,320365.0,66575.0,7765.0,127.0,0.792190158101
UA,2007,410397.0,110145.0,10367.0,853.0,0.731613535187
US,2007,389957.0,113568.0,7526.0,833.0,0.708767889793
WN,2007,596175.0,108466.0,5481.0,1089.0,0.81806348807
YV,2007,158859.0,36815.0,6853.0,251.0,0.768253608546
