carrier,year,arr_flights,arr_del15,arr_cancelled,arr_diverted,onTime
AA,2015,602086.0,106999.0,9051.0,1847.0,0.82228618503
AS,2015,111500.0,14081.0,294.0,155.0,0.873713004484
B6,2015,188871.0,42504.0,3164.0,524.0,0.774957510682
DL,2015,665803.0,91371.0,3176.0,1486.0,0.862765712981
EV,2015,298936.0,56526.0,8512.0,1054.0,0.810909358525
F9,2015,71155.0,18784.0,424.0,128.0,0.73601292952
HA,2015,5442.0,886.0,9.0,11.0,0.837192208747
MQ,2015,153873.0,31187.0,8386.0,480.0,0.797319867683
NK,2015,96541.0,29018.0,1686.0,148.0,0.699423043059
OO,2015,335439.0,61458.0,5924.0,640.0,0.816783379392
UA,2015,443801.0,89040.0,5831.0,1200.0,0.799369537248
US,2015,169621.0,31017.0,3776.0,382.0,0.817139387222
VX,2015,60007.0,11449.0,498.0,117.0,0.809205592681
WN,2015,732838.0,134953.0,9985.0,2347.0,0.81584879605
