carrier,year,arr_flights,arr_del15,arr_cancelled,arr_diverted,onTime
AA,2014,432302.0,93365.0,6781.0,1693.0,0.784028295034
AS,2014,100753.0,13207.0,304.0,135.0,0.868917054579
B6,2014,174279.0,39124.0,4405.0,450.0,0.775509384378
DL,2014,608021.0,94015.0,4863.0,1111.0,0.845375406442
EV,2014,372826.0,85651.0,19547.0,1151.0,0.770265485776
F9,2014,63203.0,15801.0,247.0,109.0,0.749996044492
FL,2014,57842.0,10062.0,1138.0,130.0,0.826043359497
HA,2014,4945.0,579.0,2.0,26.0,0.882912032356
MQ,2014,212390.0,54400.0,12346.0,595.0,0.74386741372
OO,2014,351459.0,70439.0,10607.0,637.0,0.799581174476
UA,2014,428337.0,94945.0,6473.0,1014.0,0.778340418876
US,2014,354874.0,62065.0,6171.0,661.0,0.825106939364
VX,2014,56266.0,10035.0,328.0,119.0,0.821650730459
WN,2014,655450.0,163813.0,9431.0,1845.0,0.750075520635
