carrier,year,arr_flights,arr_del15,arr_cancelled,arr_diverted,onTime
AA,2016,759296.0,145315.0,9500.0,1908.0,0.808618773179
AS,2016,115111.0,14507.0,447.0,214.0,0.873973816577
B6,2016,198798.0,48052.0,2779.0,449.0,0.758287306713
DL,2016,700008.0,91307.0,3240.0,1366.0,0.869562919281
EV,2016,251937.0,43539.0,6400.0,852.0,0.827182986223
F9,2016,72591.0,16743.0,899.0,124.0,0.769351572509
HA,2016,5571.0,862.0,2.0,17.0,0.845270148986
NK,2016,115821.0,27629.0,2216.0,165.0,0.761450859516
OO,2016,339437.0,55642.0,4823.0,790.0,0.836075619334
UA,2016,462864.0,78710.0,4846.0,1242.0,0.829950050123
VX,2016,66913.0,15161.0,662.0,191.0,0.773422204953
WN,2016,753185.0,133863.0,10141.0,2025.0,0.822270756853
