carrier,year,arr_flights,arr_del15,arr_cancelled,arr_diverted,onTime
9E,2010,102712.0,19688.0,3400.0,243.0,0.80831840486
AA,2010,427624.0,77048.0,7636.0,1662.0,0.819823022094
AS,2010,81063.0,8899.0,261.0,105.0,0.890221185991
B6,2010,138129.0,31018.0,2913.0,368.0,0.775441797161
CO,2010,194310.0,34643.0,1737.0,555.0,0.821712727086
DL,2010,569124.0,116511.0,12047.0,1289.0,0.795280114703
EV,2010,354106.0,69834.0,8801.0,879.0,0.80278786578
F9,2010,65144.0,11315.0,277.0,145.0,0.826307871792
FL,2010,170792.0,27594.0,1981.0,433.0,0.838435055506
HA,2010,4522.0,790.0,1.0,17.0,0.825298540469
MQ,2010,252743.0,49247.0,7536.0,691.0,0.805149895348
OH,2010,71123.0,17820.0,3236.0,163.0,0.749448139139
OO,2010,331751.0,60576.0,6737.0,670.0,0.817405222592
UA,2010,294674.0,38325.0,4539.0,651.0,0.869941019567
US,2010,340420.0,51614.0,5686.0,573.0,0.848381411198
WN,2010,607982.0,113225.0,6950.0,1282.0,0.81376915764
YV,2010,90856.0,12510.0,2071.0,182.0,0.8623095888
