carrier,year,arr_flights,arr_del15,arr_cancelled,arr_diverted,onTime
AA,2012,421678.0,84397.0,7906.0,1523.0,0.799854391265
AS,2012,85676.0,9470.0,469.0,147.0,0.889467295392
B6,2012,158054.0,31462.0,1745.0,317.0,0.80094145039
DL,2012,561333.0,72865.0,3170.0,1018.0,0.870192915792
EV,2012,378096.0,76511.0,8619.0,838.0,0.797641339766
F9,2012,62016.0,13064.0,206.0,90.0,0.789344685243
FL,2012,146065.0,18329.0,1102.0,254.0,0.874514770821
HA,2012,4484.0,992.0,3.0,13.0,0.778768956289
MQ,2012,276034.0,41401.0,6450.0,739.0,0.850014853243
OO,2012,354689.0,58036.0,6603.0,413.0,0.83637496511
UA,2012,455573.0,96177.0,6819.0,937.0,0.788887840149
US,2012,344817.0,45286.0,3807.0,426.0,0.868666568064
VX,2012,54538.0,8661.0,284.0,74.0,0.841193296417
WN,2012,627191.0,99669.0,5757.0,1119.0,0.841086686512
YV,2012,70604.0,8305.0,1153.0,121.0,0.882372103564
