carrier,year,arr_flights,arr_del15,arr_cancelled,arr_diverted,onTime
AA,2004,535501.0,115374.0,10273.0,1328.0,0.784549421943
AS,2004,96280.0,19597.0,1776.0,157.0,0.79645824678
B6,2004,62084.0,10933.0,438.0,88.0,0.823899877585
CO,2004,233328.0,47478.0,1601.0,657.0,0.79651820613
DH,2004,129830.0,29092.0,4616.0,209.0,0.775922360009
DL,2004,478836.0,108709.0,7532.0,897.0,0.772972374675
EV,2004,147326.0,30054.0,4286.0,263.0,0.796003420985
FL,2004,124428.0,26401.0,1638.0,243.0,0.787821069213
HA,2004,3946.0,764.0,10.0,4.0,0.806386213887
HP,2004,162031.0,36468.0,2676.0,223.0,0.774931957465
MQ,2004,269390.0,57980.0,10540.0,480.0,0.784773005679
NW,2004,341859.0,66398.0,4506.0,700.0,0.805773725425
OH,2004,103047.0,21751.0,3731.0,296.0,0.788921560065
OO,2004,247668.0,36987.0,5440.0,153.0,0.850658946654
RU,2004,171804.0,38557.0,3351.0,663.0,0.77557565598
TZ,2004,60589.0,12221.0,606.0,23.0,0.798296720527
UA,2004,463654.0,86079.0,5945.0,861.0,0.814346473879
US,2004,296370.0,57538.0,4988.0,660.0,0.805857542936
WN,2004,461849.0,85576.0,5262.0,912.0,0.81471000262
