carrier,year,arr_flights,arr_del15,arr_cancelled,arr_diverted,onTime
9E,2008,94567.0,16198.0,2943.0,258.0,0.828714033437
AA,2008,469834.0,127912.0,13817.0,1693.0,0.727750652358
AQ,2008,150.0,28.0,0.0,1.0,0.813333333333
AS,2008,91877.0,18546.0,1069.0,149.0,0.798143169672
B6,2008,134173.0,34461.0,2249.0,499.0,0.743159950214
CO,2008,237349.0,59387.0,3052.0,770.0,0.74979039305
DL,2008,348921.0,77282.0,5626.0,999.0,0.778511468212
EV,2008,314414.0,76953.0,8325.0,976.0,0.75524944818
F9,2008,76433.0,15553.0,257.0,64.0,0.796514594481
FL,2008,190409.0,42864.0,1675.0,551.0,0.774884590539
HA,2008,4570.0,1303.0,11.0,18.0,0.714879649891
MQ,2008,266899.0,59974.0,10502.0,760.0,0.775293275734
NW,2008,249736.0,55272.0,2306.0,447.0,0.778678284268
OH,2008,80962.0,24912.0,3436.0,243.0,0.692300091401
OO,2008,297309.0,54240.0,6483.0,454.0,0.817563544999
UA,2008,374531.0,96491.0,8962.0,833.0,0.742368455482
US,2008,369920.0,68498.0,5796.0,812.0,0.814830233564
WN,2008,629077.0,114874.0,6745.0,1550.0,0.817392783395
YV,2008,130454.0,30191.0,5465.0,312.0,0.768569764055
